Orthogroup	ahos	apis	Total
OG0000000	0	201	201
OG0000001	0	183	183
OG0000002	0	183	183
OG0000003	0	137	137
OG0000004	0	109	109
OG0000005	0	100	100
OG0000006	0	99	99
OG0000007	0	98	98
OG0000008	0	97	97
OG0000009	0	97	97
OG0000010	0	96	96
OG0000011	0	93	93
OG0000012	0	92	92
OG0000013	0	91	91
OG0000014	0	88	88
OG0000015	0	84	84
OG0000016	0	80	80
OG0000017	0	79	79
OG0000018	0	76	76
OG0000019	0	74	74
OG0000020	0	70	70
OG0000021	0	66	66
OG0000022	0	66	66
OG0000023	0	65	65
OG0000024	0	63	63
OG0000025	0	60	60
OG0000026	0	58	58
OG0000027	0	58	58
OG0000028	0	55	55
OG0000029	0	55	55
OG0000030	0	55	55
OG0000031	0	52	52
OG0000032	0	52	52
OG0000033	0	51	51
OG0000034	0	50	50
OG0000035	0	50	50
OG0000036	0	50	50
OG0000037	0	48	48
OG0000038	0	48	48
OG0000039	0	48	48
OG0000040	0	47	47
OG0000041	0	47	47
OG0000042	0	47	47
OG0000043	0	45	45
OG0000044	0	44	44
OG0000045	0	44	44
OG0000046	0	44	44
OG0000047	0	43	43
OG0000048	0	43	43
OG0000049	0	43	43
OG0000050	0	42	42
OG0000051	0	42	42
OG0000052	0	42	42
OG0000053	0	42	42
OG0000054	0	41	41
OG0000055	0	41	41
OG0000056	0	41	41
OG0000057	0	41	41
OG0000058	0	40	40
OG0000059	0	40	40
OG0000060	0	39	39
OG0000061	0	39	39
OG0000062	0	37	37
OG0000063	0	37	37
OG0000064	0	37	37
OG0000065	0	36	36
OG0000066	0	36	36
OG0000067	0	36	36
OG0000068	0	36	36
OG0000069	0	36	36
OG0000070	0	36	36
OG0000071	0	35	35
OG0000072	0	35	35
OG0000073	0	35	35
OG0000074	0	35	35
OG0000075	0	35	35
OG0000076	0	34	34
OG0000077	0	34	34
OG0000078	0	34	34
OG0000079	0	34	34
OG0000080	0	34	34
OG0000081	0	33	33
OG0000082	0	33	33
OG0000083	0	33	33
OG0000084	0	33	33
OG0000085	0	33	33
OG0000086	2	30	32
OG0000087	0	32	32
OG0000088	0	32	32
OG0000089	0	31	31
OG0000090	0	31	31
OG0000091	0	30	30
OG0000092	0	30	30
OG0000093	0	30	30
OG0000094	0	30	30
OG0000095	0	30	30
OG0000096	0	30	30
OG0000097	0	30	30
OG0000098	0	30	30
OG0000099	0	30	30
OG0000100	0	30	30
OG0000101	0	29	29
OG0000102	0	28	28
OG0000103	0	28	28
OG0000104	0	28	28
OG0000105	0	28	28
OG0000106	0	28	28
OG0000107	0	27	27
OG0000108	0	27	27
OG0000109	0	27	27
OG0000110	0	27	27
OG0000111	0	27	27
OG0000112	0	27	27
OG0000113	0	26	26
OG0000114	0	26	26
OG0000115	0	26	26
OG0000116	0	26	26
OG0000117	0	25	25
OG0000118	0	25	25
OG0000119	0	25	25
OG0000120	24	0	24
OG0000121	0	24	24
OG0000122	0	24	24
OG0000123	0	24	24
OG0000124	0	24	24
OG0000125	0	24	24
OG0000126	0	23	23
OG0000127	0	23	23
OG0000128	0	23	23
OG0000129	0	23	23
OG0000130	0	23	23
OG0000131	0	23	23
OG0000132	0	23	23
OG0000133	0	23	23
OG0000134	0	23	23
OG0000135	0	23	23
OG0000136	0	23	23
OG0000137	0	23	23
OG0000138	0	23	23
OG0000139	0	23	23
OG0000140	0	22	22
OG0000141	0	22	22
OG0000142	0	22	22
OG0000143	0	22	22
OG0000144	0	22	22
OG0000145	0	22	22
OG0000146	0	22	22
OG0000147	0	22	22
OG0000148	0	22	22
OG0000149	0	22	22
OG0000150	0	22	22
OG0000151	0	22	22
OG0000152	0	21	21
OG0000153	0	21	21
OG0000154	0	21	21
OG0000155	0	21	21
OG0000156	0	21	21
OG0000157	0	21	21
OG0000158	0	21	21
OG0000159	0	21	21
OG0000160	0	20	20
OG0000161	0	20	20
OG0000162	0	20	20
OG0000163	0	20	20
OG0000164	0	20	20
OG0000165	0	20	20
OG0000166	0	20	20
OG0000167	0	20	20
OG0000168	0	20	20
OG0000169	0	20	20
