Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	200	200
OG0000001	182	182
OG0000002	182	182
OG0000003	136	136
OG0000004	108	108
OG0000005	99	99
OG0000006	98	98
OG0000007	97	97
OG0000008	96	96
OG0000009	96	96
OG0000010	95	95
OG0000011	92	92
OG0000012	91	91
OG0000013	90	90
OG0000014	87	87
OG0000015	83	83
OG0000016	79	79
OG0000017	78	78
OG0000018	75	75
OG0000019	73	73
OG0000020	69	69
OG0000021	65	65
OG0000022	65	65
OG0000023	64	64
OG0000024	62	62
OG0000025	59	59
OG0000026	57	57
OG0000027	57	57
OG0000028	54	54
OG0000029	54	54
OG0000030	54	54
OG0000031	51	51
OG0000032	51	51
OG0000033	50	50
OG0000034	49	49
OG0000035	49	49
OG0000036	49	49
OG0000037	47	47
OG0000038	47	47
OG0000039	47	47
OG0000040	46	46
OG0000041	46	46
OG0000042	46	46
OG0000043	44	44
OG0000044	43	43
OG0000045	43	43
OG0000046	43	43
OG0000047	42	42
OG0000048	42	42
OG0000049	42	42
OG0000050	41	41
OG0000051	41	41
OG0000052	41	41
OG0000053	41	41
OG0000054	40	40
OG0000055	40	40
OG0000056	40	40
OG0000057	40	40
OG0000058	39	39
OG0000059	39	39
OG0000060	38	38
OG0000061	38	38
OG0000062	36	36
OG0000063	36	36
OG0000064	36	36
OG0000065	35	35
OG0000066	35	35
OG0000067	35	35
OG0000068	35	35
OG0000069	35	35
OG0000070	35	35
OG0000071	34	34
OG0000072	34	34
OG0000073	34	34
OG0000074	34	34
OG0000075	34	34
OG0000076	33	33
OG0000077	33	33
OG0000078	33	33
OG0000079	33	33
OG0000080	33	33
OG0000081	32	32
OG0000082	32	32
OG0000083	32	32
OG0000084	32	32
OG0000085	32	32
OG0000086	30	30
OG0000087	31	31
OG0000088	31	31
OG0000089	30	30
OG0000090	30	30
OG0000091	29	29
OG0000092	29	29
OG0000093	29	29
OG0000094	29	29
OG0000095	29	29
OG0000096	29	29
OG0000097	29	29
OG0000098	29	29
OG0000099	29	29
OG0000100	29	29
OG0000101	28	28
OG0000102	27	27
OG0000103	27	27
OG0000104	27	27
OG0000105	27	27
OG0000106	27	27
OG0000107	26	26
OG0000108	26	26
OG0000109	26	26
