Orthogroup	ahos	apis
OG0004055	ahos|F4B612	
OG0004056	ahos|F4B7E9	
OG0004057	ahos|F4B9J0	
OG0004058	ahos|F4B6M8	
OG0004059	ahos|F4B651	
OG0004060	ahos|F4B6A0	
OG0004061	ahos|F4B6L6	
OG0004062	ahos|F4B6H5	
OG0004063	ahos|F4B7J7	
OG0004064	ahos|F4B9R4	
OG0004065	ahos|F4BA18	
OG0004066	ahos|F4B8W5	
OG0004067	ahos|F4B4U3	
OG0004068	ahos|F4B625	
OG0004069	ahos|F4B9K5	
OG0004070	ahos|F4B592	
OG0004071	ahos|F4B5N6	
OG0004072	ahos|F4B4W3	
OG0004073	ahos|F4B602	
OG0004074	ahos|F4B3W2	
OG0004075	ahos|F4B6K3	
OG0004076	ahos|F4B6K7	
OG0004077	ahos|F4B8Z3	
OG0004078	ahos|F4B8J0	
OG0004079	ahos|F4B498	
OG0004080	ahos|F4B709	
OG0004081	ahos|F4B5G5	
OG0004082	ahos|F4B9C4	
OG0004083	ahos|F4B4M0	
OG0004084	ahos|F4B5M1	
OG0004085	ahos|F4B5U6	
OG0004086	ahos|F4B3N2	
OG0004087	ahos|F4B7D2	
OG0004088	ahos|F4B511	
OG0004089	ahos|F4B6R8	
OG0004090	ahos|F4B8K4	
OG0004091	ahos|F4B8P9	
OG0004092	ahos|F4B3L6	
OG0004093	ahos|F4B885	
OG0004094	ahos|F4B5Y9	
OG0004095	ahos|F4B7K3	
OG0004096	ahos|F4B7R3	
OG0004097	ahos|F4B800	
OG0004098	ahos|F4B7C6	
OG0004099	ahos|F4BA23	
OG0004100	ahos|F4B5K3	
OG0004101	ahos|F4B7T6	
OG0004102	ahos|F4B6C3	
OG0004103	ahos|F4B4H3	
OG0004104	ahos|F4B724	
OG0004105	ahos|F4B4R4	
OG0004106	ahos|F4B893	
OG0004107	ahos|F4B9Y7	
OG0004108	ahos|F4B6J3	
OG0004109	ahos|F4B3T7	
OG0004110	ahos|F4B6P8	
OG0004111	ahos|F4B866	
OG0004112	ahos|F4B3Q6	
OG0004113	ahos|F4B7L0	
OG0004114	ahos|F4B8N2	
OG0004115	ahos|F4B738	
OG0004116	ahos|F4B7V3	
OG0004117	ahos|F4B5Z3	
OG0004118	ahos|F4B4G9	
OG0004119	ahos|F4B9R9	
OG0004120	ahos|F4B8V7	
OG0004121	ahos|F4B4A4	
OG0004122	ahos|F4B702	
OG0004123	ahos|F4B6G2	
OG0004124	ahos|F4BA17	
OG0004125	ahos|F4B7X6	
OG0004126	ahos|F4B746	
OG0004127	ahos|F4B6N1	
OG0004128	ahos|F4B6S5	
OG0004129	ahos|F4B5Q0	
OG0004130	ahos|F4B3N9	
OG0004131	ahos|F4B8W2	
OG0004132	ahos|F4B9Y1	
OG0004133	ahos|F4B9J7	
OG0004134	ahos|F4B986	
OG0004135	ahos|F4B6S4	
OG0004136	ahos|F4B7E0	
OG0004137	ahos|F4B3P6	
OG0004138	ahos|F4B9C1	
OG0004139	ahos|F4B8A4	
OG0004140	ahos|F4B9H2	
OG0004141	ahos|F4B4P8	
OG0004142	ahos|F4B4X3	
OG0004143	ahos|F4B4B9	
OG0004144	ahos|F4B656	
OG0004145	ahos|F4B488	
OG0004146	ahos|F4B8H2	
OG0004147	ahos|F4B9Z4	
OG0004148	ahos|F4B586	
OG0004149	ahos|F4B533	
OG0004150	ahos|F4BA77	
OG0004151	ahos|F4B965	
OG0004152	ahos|F4B413	
OG0004153	ahos|F4B7F1	
OG0004154	ahos|F4B9S5	
OG0004155	ahos|F4B508	
OG0004156	ahos|F4B9A9	
OG0004157	ahos|F4B8Q2	
OG0004158	ahos|F4B665	
OG0004159	ahos|F4B503	
OG0004160	ahos|F4B951	
OG0004161	ahos|F4B731	
OG0004162	ahos|F4B445	
OG0004163	ahos|F4B743	
OG0004164	ahos|F4B7Y4	
OG0004165	ahos|F4B9V4	
OG0004166	ahos|F4B465	
OG0004167	ahos|F4B7I2	
OG0004168	ahos|F4B8B4	
OG0004169	ahos|F4BA31	
OG0004170	ahos|F4B3R1	
OG0004171	ahos|F4B6E6	
OG0004172	ahos|F4B9E1	
OG0004173	ahos|F4B9G3	
OG0004174	ahos|F4B9B0	
OG0004175	ahos|F4B567	
OG0004176	ahos|F4B4D8	
OG0004177	ahos|F4B7K6	
OG0004178	ahos|F4B563	
OG0004179	ahos|F4B917	
OG0004180	ahos|F4B3X6	
OG0004181	ahos|F4B7A4	
OG0004182	ahos|F4BA46	
OG0004183	ahos|F4B4K4	
OG0004184	ahos|F4B6U3	
OG0004185	ahos|F4B701	
OG0004186	ahos|F4B6W2	
OG0004187	ahos|F4B944	
OG0004188	ahos|F4B7I0	
OG0004189	ahos|F4B5J6	
OG0004190	ahos|F4B6B0	
OG0004191	ahos|F4B8X2	
OG0004192	ahos|F4B9U1	
OG0004193	ahos|F4B7G9	
OG0004194	ahos|F4B5V4	
OG0004195	ahos|F4B5E8	
OG0004196	ahos|F4B892	
OG0004197	ahos|F4B7L6	
OG0004198	ahos|F4B557	
OG0004199	ahos|F4B629	
OG0004200	ahos|F4B6V6	
OG0004201	ahos|F4B5B9	
OG0004202	ahos|F4B9X3	
OG0004203	ahos|F4B6A1	
OG0004204	ahos|F4B9V3	
OG0004205	ahos|F4B616	
OG0004206	ahos|F4B696	
OG0004207	ahos|F4B9H8	
OG0004208	ahos|F4B4G2	
OG0004209	ahos|F4B3L2	
OG0004210	ahos|F4B6W6	
OG0004211	ahos|F4B4F3	
OG0004212	ahos|F4B529	
OG0004213	ahos|F4B6D4	
OG0004214	ahos|F4B433	
OG0004215	ahos|F4B9T1	
OG0004216	ahos|F4B9X5	
OG0004217	ahos|F4B6L7	
OG0004218	ahos|F4B3Y7	
OG0004219	ahos|F4B6L2	
OG0004220	ahos|F4B5X2	
OG0004221	ahos|F4B8A5	
OG0004222	ahos|F4B9M6	
OG0004223	ahos|F4B938	
OG0004224	ahos|F4B649	
OG0004225	ahos|F4B479	
OG0004226	ahos|F4B7Z7	
OG0004227	ahos|F4B3W4	
OG0004228	ahos|F4B8T3	
OG0004229	ahos|F4BA83	
OG0004230	ahos|F4B9W7	
OG0004231	ahos|F4B7G6	
OG0004232	ahos|F4B6T8	
OG0004233	ahos|F4B7R7	
OG0004234	ahos|F4B6Y0	
OG0004235	ahos|F4B4G6	
OG0004236	ahos|F4B834	
OG0004237	ahos|F4B5L0	
OG0004238	ahos|F4B6J7	
OG0004239	ahos|F4B7D6	
OG0004240	ahos|F4B4T5	
OG0004241	ahos|F4B9J4	
OG0004242	ahos|F4B897	
OG0004243	ahos|F4B7N6	
OG0004244	ahos|F4B9R8	
OG0004245	ahos|F4B3V2	
OG0004246	ahos|F4B5Y1	
OG0004247	ahos|F4B5E2	
OG0004248	ahos|F4B812	
OG0004249	ahos|F4B723	
OG0004250	ahos|F4B3M6	
OG0004251	ahos|F4B977	
OG0004252	ahos|F4B828	
OG0004253	ahos|F4B538	
OG0004254	ahos|F4B770	
OG0004255	ahos|F4B823	
OG0004256	ahos|F4B968	
OG0004257	ahos|F4B4N0	
OG0004258	ahos|F4B4N3	
OG0004259	ahos|F4B552	
OG0004260	ahos|F4B8P5	
OG0004261	ahos|F4B4P7	
OG0004262	ahos|F4B4S4	
OG0004263	ahos|F4B935	
OG0004264	ahos|F4B4V1	
OG0004265	ahos|F4B958	
OG0004266	ahos|F4B8U3	
OG0004267	ahos|F4B8I5	
OG0004268	ahos|F4B905	
OG0004269	ahos|F4B6E7	
OG0004270	ahos|F4B542	
OG0004271	ahos|F4B7Z0	
OG0004272	ahos|F4B5Z7	
OG0004273	ahos|F4B6Q9	
OG0004274	ahos|F4B4Z4	
OG0004275	ahos|F4B546	
OG0004276	ahos|F4B803	
OG0004277	ahos|F4B8C1	
OG0004278	ahos|F4B7W8	
OG0004279	ahos|F4BA19	
OG0004280	ahos|F4B7I7	
OG0004281	ahos|F4B7G2	
OG0004282	ahos|F4B4I8	
OG0004283	ahos|F4B4U4	
OG0004284	ahos|F4B9L8	
OG0004285	ahos|F4B8H6	
OG0004286	ahos|F4B8D0	
OG0004287	ahos|F4B8X6	
OG0004288	ahos|F4B739	
OG0004289	ahos|F4B6F0	
OG0004290	ahos|F4B9J1	
OG0004291	ahos|F4B7J8	
OG0004292	ahos|F4B4B8	
OG0004293	ahos|F4B7H5	
OG0004294	ahos|F4B3M0	
OG0004295	ahos|F4B849	
OG0004296	ahos|F4B6U8	
OG0004297	ahos|F4B4L8	
OG0004298	ahos|F4B5K8	
OG0004299	ahos|F4B919	
OG0004300	ahos|F4B8M6	
OG0004301	ahos|F4B8S7	
OG0004302	ahos|F4B9I2	
OG0004303	ahos|F4B5J9	
OG0004304	ahos|F4B505	
OG0004305	ahos|F4B5P7	
OG0004306	ahos|F4B439	
OG0004307	ahos|F4B9Z9	
OG0004308	ahos|F4B900	
OG0004309	ahos|F4B8K3	
OG0004310	ahos|F4B7A1	
OG0004311	ahos|F4B5P2	
OG0004312	ahos|F4B954	
OG0004313	ahos|F4B5H2	
OG0004314	ahos|F4B9S2	
OG0004315	ahos|F4B5W1	
OG0004316	ahos|F4B8J7	
OG0004317	ahos|F4B4M3	
OG0004318	ahos|F4B3X2	
OG0004319	ahos|F4B6I8	
OG0004320	ahos|F4B4N9	
OG0004321	ahos|F4B9F5	
OG0004322	ahos|F4B6K6	
OG0004323	ahos|F4B5N5	
OG0004324	ahos|F4B8Z2	
OG0004325	ahos|F4BA56	
OG0004326	ahos|F4B6X6	
OG0004327	ahos|F4B8T5	
OG0004328	ahos|F4B6R7	
OG0004329	ahos|F4B8V3	
OG0004330	ahos|F4B814	
OG0004331	ahos|F4BA04	
OG0004332	ahos|F4B9Y2	
OG0004333	ahos|F4B5S4	
OG0004334	ahos|F4B8P1	
OG0004335	ahos|F4B6D8	
OG0004336	ahos|F4B704	
OG0004337	ahos|F4B635	
OG0004338	ahos|F4B642	
OG0004339	ahos|F4B440	
OG0004340	ahos|F4B5D3	
OG0004341	ahos|F4B9Y8	
OG0004342	ahos|F4B959	
OG0004343	ahos|F4B7K4	
OG0004344	ahos|F4B6C4	
OG0004345	ahos|F4B6V1	
OG0004346	ahos|F4B4N6	
OG0004347	ahos|F4B3N7	
OG0004348	ahos|F4BA73	
OG0004349	ahos|F4B4Q6	
OG0004350	ahos|F4B8F6	
OG0004351	ahos|F4B7F7	
OG0004352	ahos|F4B8W6	
OG0004353	ahos|F4B4F6	
OG0004354	ahos|F4B5L1	
OG0004355	ahos|F4B5K9	
OG0004356	ahos|F4B838	
OG0004357	ahos|F4B6U4	
OG0004358	ahos|F4B6M7	
OG0004359	ahos|F4B4E2	
OG0004360	ahos|F4B9T9	
OG0004361	ahos|F4B4M1	
OG0004362	ahos|F4B4M8	
OG0004363	ahos|F4B3L0	
OG0004364	ahos|F4B5U7	
OG0004365	ahos|F4B5G6	
OG0004366	ahos|F4B8U5	
OG0004367	ahos|F4B4K5	
OG0004368	ahos|F4B758	
OG0004369	ahos|F4B792	
OG0004370	ahos|F4B3M2	
OG0004371	ahos|F4B9H1	
OG0004372	ahos|F4B6U9	
OG0004373	ahos|F4B496	
OG0004374	ahos|F4B4T1	
OG0004375	ahos|F4B8I9	
OG0004376	ahos|F4B689	
OG0004377	ahos|F4B708	
OG0004378	ahos|F4B469	
OG0004379	ahos|F4B6A8	
OG0004380	ahos|F4B896	
OG0004381	ahos|F4B9Z3	
OG0004382	ahos|F4B8T4	
OG0004383	ahos|F4B7A3	
OG0004384	ahos|F4B4D5	
OG0004385	ahos|F4B7P5	
OG0004386	ahos|F4B509	
OG0004387	ahos|F4B3Q9	
OG0004388	ahos|F4BA30	
OG0004389	ahos|F4B6Q8	
OG0004390	ahos|F4B568	
OG0004391	ahos|F4B9R0	
OG0004392	ahos|F4B514	
OG0004393	ahos|F4B7K7	
OG0004394	ahos|F4B5J0	
OG0004395	ahos|F4B5A9	
OG0004396	ahos|F4B466	
OG0004397	ahos|F4B764	
OG0004398	ahos|F4B5D8	
OG0004399	ahos|F4B5Y4	
OG0004400	ahos|F4B8B3	
OG0004401	ahos|F4B638	
OG0004402	ahos|F4BA59	
OG0004403	ahos|F4B7S1	
OG0004404	ahos|F4B5F9	
OG0004405	ahos|F4B928	
OG0004406	ahos|F4B9N7	
OG0004407	ahos|F4B444	
OG0004408	ahos|F4B855	
OG0004409	ahos|F4B5V5	
OG0004410	ahos|F4B771	
OG0004411	ahos|F4B789	
OG0004412	ahos|F4B6P7	
OG0004413	ahos|F4B981	
OG0004414	ahos|F4B580	
OG0004415	ahos|F4B8Z7	
OG0004416	ahos|F4B920	
OG0004417	ahos|F4B4H4	
OG0004418	ahos|F4B549	
OG0004419	ahos|F4B8S0	
OG0004420	ahos|F4B576	
OG0004421	ahos|F4B4G3	
OG0004422	ahos|F4B5X7	
OG0004423	ahos|F4B7U0	
OG0004424	ahos|F4B7E1	
OG0004425	ahos|F4B4R9	
OG0004426	ahos|F4B785	
OG0004427	ahos|F4B485	
OG0004428	ahos|F4B8A3	
OG0004429	ahos|F4B8N7	
OG0004430	ahos|F4B6I1	
OG0004431	ahos|F4B4P3	
OG0004432	ahos|F4B5A6	
OG0004433	ahos|F4B7H2	
OG0004434	ahos|F4B5K4	
OG0004435	ahos|F4B6S6	
OG0004436	ahos|F4BA08	
OG0004437	ahos|F4BA16	
OG0004438	ahos|F4B672	
OG0004439	ahos|F4B4L4	
OG0004440	ahos|F4B878	
OG0004441	ahos|F4B6H6	
OG0004442	ahos|F4B747	
OG0004443	ahos|F4BA29	
OG0004444	ahos|F4B4I0	
OG0004445	ahos|F4B7K8	
OG0004446	ahos|F4B748	
OG0004447	ahos|F4B648	
OG0004448	ahos|F4B5Z9	
OG0004449	ahos|F4B5D7	
OG0004450	ahos|F4B863	
OG0004451	ahos|F4B7S7	
OG0004452	ahos|F4B4Q8	
OG0004453	ahos|F4B7N7	
OG0004454	ahos|F4B5W5	
OG0004455	ahos|F4B7R6	
OG0004456	ahos|F4B9R5	
OG0004457	ahos|F4B5Y0	
OG0004458	ahos|F4B728	
OG0004459	ahos|F4B5N1	
OG0004460	ahos|F4B522	
OG0004461	ahos|F4B4T2	
OG0004462	ahos|F4B575	
OG0004463	ahos|F4B530	
OG0004464	ahos|F4B976	
OG0004465	ahos|F4B8H0	
OG0004466	ahos|F4B6A9	
OG0004467	ahos|F4B824	
OG0004468	ahos|F4B5E1	
OG0004469	ahos|F4B415	
OG0004470	ahos|F4B6Q7	
OG0004471	ahos|F4B4U0	
OG0004472	ahos|F4B6F8	
OG0004473	ahos|F4B5L3	
OG0004474	ahos|F4B7B4	
OG0004475	ahos|F4B9U4	
OG0004476	ahos|F4B5E7	
OG0004477	ahos|F4B617	
OG0004478	ahos|F4B3R7	
OG0004479	ahos|F4B3U9	
OG0004480	ahos|F4B4B7	
OG0004481	ahos|F4B9N6	
OG0004482	ahos|F4B5F8	
OG0004483	ahos|F4B9D4	
OG0004484	ahos|F4B9K9	
OG0004485	ahos|F4B6U5	
OG0004486	ahos|F4B4R0	
OG0004487	ahos|F4B6T5	
OG0004488	ahos|F4B9H7	
OG0004489	ahos|F4B424	
OG0004490	ahos|F4B3Y4	
OG0004491	ahos|F4B5V0	
OG0004492	ahos|F4BA26	
OG0004493	ahos|F4BA13	
OG0004494	ahos|F4B9X6	
OG0004495	ahos|F4B8U9	
OG0004496	ahos|F4B6K0	
OG0004497	ahos|F4B734	
OG0004498	ahos|F4B971	
OG0004499	ahos|F4B796	
OG0004500	ahos|F4B5B5	
OG0004501	ahos|F4B927	
OG0004502	ahos|F4B9K8	
OG0004503	ahos|F4B9Q8	
OG0004504	ahos|F4B3Y8	
OG0004505	ahos|F4BA64	
OG0004506	ahos|F4B909	
OG0004507	ahos|F4B7F5	
OG0004508	ahos|F4BA22	
OG0004509	ahos|F4B4L0	
